12/13/2016, 11:19:28 PM: User, UPDATE, Schedule Start Time: 12, (run name: CLM_ACS_EXTR, audit id: 1799120014)
12/13/2016, 11:19:31 PM: User, UPDATE, Schedule Start Time: 13, (run name: CLM_ACS_EXTR, audit id: 1799120014)
12/13/2016, 11:19:34 PM: User, UPDATE, Schedule Start Time: 14, (run name: CLM_ACS_EXTR, audit id: 1799120014)
12/17/2016, 7:15:20 AM: User, UPDATE, Schedule Start Time: 12, (run name: CLM_ACS_EXTR, audit id: 1799120014)
12/17/2016, 3:17:01 PM: User, UPDATE, Schedule Start Time: 10, (run name: CLM_ACS_EXTR, audit id: 1799120014)
12/20/2016, 1:38:36 AM: User, UPDATE, Schedule Start Time: 123, (run name: CLM_ACS_EXTR, audit id: 1799120014)
12/20/2016, 1:44:33 AM: User, UPDATE, Schedule Start Time: 200, (run name: CLM_ACS_EXTR, audit id: 1799120014)
12/20/2016, 1:46:13 AM: User, UPDATE, Schedule Start Time: undefined, (run name: CLM_ACS_EXTR, audit id: 1799120014)
12/20/2016, 1:48:31 AM: User, UPDATE, Schedule Start Time: undefined, (run name: CLM_ACS_EXTR, audit id: 1799120014)
12/20/2016, 1:48:45 AM: User, UPDATE, Schedule Start Time: undefined, (run name: CLM_ACS_EXTR, audit id: 1799120014)
12/20/2016, 2:07:21 AM: User, UPDATE, Schedule Start Time: undefined, (run name: undefined, audit id: 1799120014)
12/20/2016, 2:07:50 AM: User, UPDATE, Schedule Start Time: undefined, (run name: undefined, audit id: 1799120014)
12/20/2016, 2:16:20 AM: User, UPDATE, Schedule Start Time: undefined, (run name: undefined, audit id: undefined)
12/20/2016, 2:18:49 AM: User, UPDATE, Schedule Start Time: undefined, (run name: undefined, audit id: undefined)
12/20/2016, 2:19:20 AM: User, UPDATE, Schedule Start Time: undefined, (run name: undefined, audit id: undefined)
12/20/2016, 2:19:59 AM: User, UPDATE, Schedule Start Time: undefined, (run name: CLM_ACS_EXTR, audit id: undefined)
12/20/2016, 2:40:15 AM: User, UPDATE, Schedule Start Time: undefined, (run name: CDI_2_O, audit id: undefined)
12/20/2016, 2:56:30 AM: User, UPDATE, Schedule Start Time: undefined, (run name: CDI_2_O, audit id: undefined)
12/20/2016, 2:56:44 AM: User, UPDATE, Schedule Start Time: undefined, (run name: CDI_2_O, audit id: undefined)
12/20/2016, 3:14:26 AM: User, UPDATE, Schedule Start Time: undefined, (run name: CDI_2_O, audit id: undefined)
12/20/2016, 3:14:37 AM: User, UPDATE, Schedule Start Time: undefined, (run name: CDI_2_O, audit id: undefined)
12/20/2016, 3:15:08 AM: User, UPDATE, Schedule Start Time: undefined, (run name: CDI_2_O, audit id: undefined)
12/20/2016, 3:15:28 AM: User, UPDATE, Schedule Start Time: undefined, (run name: CDI_2_O, audit id: undefined)
12/20/2016, 3:22:31 AM: User, UPDATE, Schedule Start Time: undefined, (run name: undefined, audit id: undefined)
12/20/2016, 3:22:38 AM: User, UPDATE, Schedule Start Time: undefined, (run name: undefined, audit id: undefined)
12/20/2016, 3:26:31 AM: User, UPDATE, Schedule Start Time: undefined, (run name: CLM_ACS_EXTR, audit id: undefined)
12/20/2016, 3:26:38 AM: User, UPDATE, Schedule Start Time: undefined, (run name: CLM_ACS_EXTR, audit id: undefined)
12/20/2016, 3:28:51 AM: User, UPDATE, Schedule Start Time: undefined, (run name: undefined, audit id: undefined)
12/20/2016, 3:29:04 AM: User, UPDATE, Schedule Start Time: undefined, (run name: undefined, audit id: undefined)
12/20/2016, 3:29:08 AM: User, UPDATE, Schedule Start Time: undefined, (run name: undefined, audit id: undefined)
12/20/2016, 3:29:57 AM: User, UPDATE, Schedule Start Time: undefined, (run name: undefined, audit id: undefined)
12/20/2016, 3:30:07 AM: User, UPDATE, Schedule Start Time: undefined, (run name: undefined, audit id: undefined)
12/20/2016, 3:31:04 AM: User, UPDATE, Schedule Start Time: undefined, (run name: CLM_ACS_EXTR, audit id: undefined)
12/20/2016, 3:31:24 AM: User, UPDATE, Schedule Start Time: undefined, (run name: CLM_ACS_EXTR, audit id: undefined)
12/20/2016, 3:32:04 AM: User, UPDATE, Schedule Start Time: undefined, (run name: CLM_COBRA_EXTR_AM, audit id: undefined)
12/20/2016, 3:32:12 AM: User, UPDATE, Schedule Start Time: undefined, (run name: CLM_COBRA_EXTR_FIN_URS, audit id: undefined)
12/20/2016, 3:37:38 AM: User, UPDATE, Schedule Start Time: undefined, (run name: CLM_ACS_EXTR, audit id: undefined)
12/20/2016, 3:37:53 AM: User, UPDATE, Schedule Start Time: undefined, (run name: CLM_ACS_EXTR, audit id: undefined)
12/20/2016, 3:38:01 AM: User, UPDATE, Schedule Start Time: undefined, (run name: CLM_AIB_RPT_REQUEST_EXTR, audit id: undefined)
12/20/2016, 3:43:56 AM: User, UPDATE, Schedule Start Time: 12, (run name: CLM_ACS_EXTR, audit id: 1799120014)
12/20/2016, 3:47:08 AM: User, UPDATE, Schedule Start Time: 50, (run name: CLM_ACS_EXTR, audit id: 1799120014)
12/20/2016, 3:48:34 PM: User, UPDATE, Schedule Start Time: undefined, (run name: CDI_2_O, audit id: undefined)
12/20/2016, 3:54:27 PM: User, UPDATE, Schedule Start Time: undefined, (run name: CDI_2_O, audit id: undefined)
12/20/2016, 4:03:49 PM: User, UPDATE, Schedule Start Time: undefined, (run name: CDI_2_O, audit id: undefined)
12/20/2016, 4:18:40 PM: User, UPDATE, Schedule Start Time: undefined, (run name: CDI_2_O, audit id: undefined)
12/20/2016, 4:37:13 PM: User, UPDATE, Schedule Start Time: undefined, (run name: CDI_2_O, audit id: undefined)
12/20/2016, 4:38:38 PM: User, UPDATE, Schedule Start Time: 1am, (run name: CLM_ACS_EXTR, audit id: 1799120014)
12/20/2016, 4:39:12 PM: User, UPDATE, Schedule Start Time: 1am, (run name: CLM_ACS_EXTR, audit id: 1799120014)
12/20/2016, 4:40:28 PM: User, UPDATE, Schedule Start Time: 1am, (run name: CLM_ACS_EXTR, audit id: 1799120014)
12/20/2016, 4:44:25 PM: User, UPDATE, Schedule Start Time: undefined, (run name: undefined, audit id: 1799120014)
12/20/2016, 4:45:59 PM: User, UPDATE, Schedule Start Time: undefined, (run name: undefined, audit id: 1799120014)
12/20/2016, 4:46:38 PM: User, UPDATE, Schedule Start Time: undefined, (run name: undefined, audit id: 1799120014)
12/20/2016, 4:47:11 PM: User, UPDATE, Schedule Start Time: undefined, (run name: undefined, audit id: 1799120014)
12/20/2016, 4:47:40 PM: User, UPDATE, Schedule Start Time: undefined, (run name: undefined, audit id: 1799120014)
12/20/2016, 4:54:46 PM: User, UPDATE, Schedule Start Time: undefined, (run name: undefined, audit id: 1799120014)
12/20/2016, 4:57:30 PM: User, UPDATE, Schedule Start Time: undefined, (run name: undefined, audit id: 1799120014)
12/20/2016, 4:58:24 PM: User, UPDATE, Schedule Start Time: undefined, (run name: undefined, audit id: 1799120014)
12/20/2016, 4:58:50 PM: User, UPDATE, Schedule Start Time: undefined, (run name: undefined, audit id: 1799120014)
12/20/2016, 5:01:13 PM: User, UPDATE, Schedule Start Time: undefined, (run name: undefined, audit id: 1799120014)
12/20/2016, 7:38:44 PM: User, UPDATE, Schedule Start Time: undefined, (run name: CDI_2_O, audit id: undefined)
12/20/2016, 7:44:16 PM: User, UPDATE, Schedule Start Time: undefined, (run name: CDI_2_O, audit id: undefined)
12/20/2016, 7:45:11 PM: User, UPDATE, Schedule Start Time: undefined, (run name: CDI_2_O, audit id: undefined)
12/20/2016, 7:46:01 PM: User, UPDATE, Schedule Start Time: undefined, (run name: CDI_2_O, audit id: undefined)
12/20/2016, 8:42:34 PM: User, UPDATE, Schedule Start Time: undefined, (run name: CDI_2_O, audit id: undefined)
12/20/2016, 8:46:24 PM: User, UPDATE, Schedule Start Time: undefined, (run name: CDI_2_O, audit id: undefined)
12/20/2016, 8:52:16 PM: User, UPDATE, Schedule Start Time: undefined, (run name: CDI_2_O, audit id: undefined)
